Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,12.720000,13.050000,12.420000,12.590000,12.590000,39410900
2022-03-22,12.520000,13.480000,12.520000,13.270000,13.270000,46210700
2022-03-23,13.160000,13.550000,13.020000,13.180000,13.180000,33699400
2022-03-24,13.250000,13.420000,12.830000,13.390000,13.390000,29535300
2022-03-25,13.360000,13.395000,12.710000,12.970000,12.970000,24796900
2022-03-28,13.010000,13.440000,12.855000,13.420000,13.420000,27152000
2022-03-29,13.650000,14.280000,13.350000,14.200000,14.200000,46433700
2022-03-30,14.040000,14.360000,13.740000,13.880000,13.880000,32164000
2022-03-31,13.900000,14.060000,13.630000,13.730000,13.730000,22840000
2022-04-01,13.770000,14.065000,13.500000,13.830000,13.830000,23831600
2022-04-04,14.030000,14.660000,14.020000,14.630000,14.630000,40066800
2022-04-05,14.610000,14.860000,13.795000,13.890000,13.890000,37677300
2022-04-06,13.520000,13.540000,12.850000,13.000000,13.000000,40647700
2022-04-07,12.950000,13.340000,12.480000,12.840000,12.840000,34727400
2022-04-08,12.700000,13.050000,12.570000,12.700000,12.700000,24962500
2022-04-11,12.450000,12.820000,12.130000,12.660000,12.660000,26095800
2022-04-12,12.880000,13.200000,12.425000,12.460000,12.460000,26226500
2022-04-13,12.350000,12.940000,12.231000,12.900000,12.900000,21152900
2022-04-14,12.920000,12.920000,12.410000,12.420000,12.420000,23284100
2022-04-18,12.350000,12.415000,11.880000,12.150000,12.150000,25395600
2022-04-19,12.080000,13.020000,12.070000,12.910000,12.910000,31753900
2022-04-20,13.080000,13.170000,12.740000,12.790000,12.790000,31528600
2022-04-21,13.020000,13.330000,12.225000,12.330000,12.330000,32009000
2022-04-22,12.330000,12.730000,11.860000,11.960000,11.960000,30386100
2022-04-25,11.830000,12.160000,11.680000,12.110000,12.110000,31727600
2022-04-26,11.940000,12.050000,11.100000,11.120000,11.120000,38666500
2022-04-27,11.010000,11.195000,10.530000,10.560000,10.560000,54508500
2022-04-28,10.690000,11.045000,10.370000,10.950000,10.950000,40074500
2022-04-29,10.900000,11.230000,10.360000,10.400000,10.400000,30937500
2022-05-02,10.380000,10.755000,10.180000,10.740000,10.740000,41193800
2022-05-03,10.690000,10.980000,10.440000,10.550000,10.550000,31372700
2022-05-04,10.530000,11.010000,10.080000,10.980000,10.980000,43239900
2022-05-05,10.800000,10.800000,9.980000,10.120000,10.120000,40523600
2022-05-06,10.000000,10.050000,9.420000,9.480000,9.480000,69691300
2022-05-09,7.780000,7.850000,7.320000,7.460000,7.460000,170871700
2022-05-10,7.560000,7.703000,6.930000,7.290000,7.290000,86932400
2022-05-11,7.280000,7.540000,6.660000,6.710000,6.710000,72894900
2022-05-12,6.550000,7.380000,6.440000,7.340000,7.340000,82147300
2022-05-13,7.520000,8.350000,7.520000,8.340000,8.340000,69242700
2022-05-16,8.170000,8.430000,8.010000,8.040000,8.040000,46153200
2022-05-17,8.100000,8.460000,8.010000,8.360000,8.360000,38620800
2022-05-18,8.210000,8.430000,7.920000,8.010000,8.010000,29304600
2022-05-19,7.970000,8.581000,7.945000,8.310000,8.310000,35780900
2022-05-20,8.260000,8.400000,7.710000,8.080000,8.080000,40879100
2022-05-23,8.010000,8.170000,7.800000,8.010000,8.010000,27755200
2022-05-24,7.980000,7.990000,7.370000,7.550000,7.550000,47218700
2022-05-25,7.520000,8.018000,7.510000,7.960000,7.960000,35068900
2022-05-26,7.840000,8.400000,7.770000,8.360000,8.360000,39738900
2022-05-27,8.500000,8.850000,8.434000,8.850000,8.850000,37064000
